fighter_1,fighter_2,chrono,text3 ?,text4 ?,text5 ?,mate
2,,,,,,1
7,,,,,,0
42,,,,,,0
2,,,,,,0
,,,MIAIRUYAMA,,,0
JP,,,MIAIRUYAMA,,,0
JIP,,,MIAIRUYAMA,,,0
JP,,,MIAIRUYAMA,,,0
P,,,MIAIRUYAMA,,,0
JPN,,,MIAIRUYAMA,,,0
JP,,,MIAIRUYAMA,,,0
JIP,,,MIAIRUYAMA,,,0
JIPE,,,MIAIRUYAMA,,,0
JIP,,,MIAIRUYAMA,,,0
86KI,PARISGRANDSLAM2024,356,MARUYANA,L,BASILE,0
86KI,PARISGRANDSLAM2024,358,MARUNYANA,1,L,0
86KI,PARISGRANDSLAM2024,3:56,MARUYANA,1,BASILE,0
86KI,PARISGRANDSLAM2024,354,MARUYANA,,BASILE,0
86KI,PARISGRANDSLAM2024,354,HARUNYANA,,BASILE,0
86KI,PARISGRANDSAM2024,3:53,NARUYANA,1,I,0
86KI,PAFISGRANDSL442024,3:53,NARUMYANA,1,IN,0
86KI,MEN,ROUNDOF64,352,MARUMANA,1,0
86K0,MEN,ROUNDOF64,351,MARUYANA,1,0
86K0,MEN,ROUNDOF64,351,MARUYANA,,0
86K0,MEN,ROUNDOF64,350,MARUVANA,IC2,0
86K0,MEN,ROUNDOF64,350,MAHUAMA,IC2,0
86K0,HEN,ROUNDOF64,349,MARUANA,,0
86K0,HEN,ROUNDOF64,348,MARUYAMA,IG,0
86K0,HEN,ROUNDOF64,348,MARUYANA,,0
